event_id,click_timestamp,ad_revenue
Campaign_461,2024-11-13T03:01:37,3.2
Campaign_461,2024-11-13T03:01:37,3.2
Campaign_816,2024-10-19T04:24:11,6.38
Campaign_816,2024-10-19T04:24:11,6.38
Campaign_178,2024-10-26T11:40:49,5.99
Campaign_383,2024-10-22T16:15:36,8.66
Campaign_273,2024-10-15T16:32:30,7.72
Campaign_273,2024-10-15T16:32:30,7.72
Campaign_661,2024-11-24T13:57:39,9.22
Campaign_867,2024-11-11T04:09:14,1.65
Campaign_381,2024-10-22T16:24:21,6.66
Campaign_392,2024-11-09T17:34:33,4.43
Campaign_392,2024-11-09T17:34:33,4.43
Campaign_43,2024-10-31T23:06:44,2.25
Campaign_43,2024-10-31T23:06:44,2.25
Campaign_43,2024-10-31T23:06:44,2.25
Campaign_43,2024-10-31T23:06:44,2.25
Campaign_104,2024-11-26T01:43:27,3.19
Campaign_960,2024-10-14T00:58:05,6.94
Campaign_960,2024-10-14T00:58:05,6.94
Campaign_548,2024-11-06T04:49:39,7.61
Campaign_235,2024-11-26T22:44:18,1.86
Campaign_22,2024-10-20T12:23:28,1.66
Campaign_917,2024-11-08T11:36:49,4.51
Campaign_304,2024-10-22T18:13:33,9.83
Campaign_755,2024-11-05T19:57:48,1.52
Campaign_755,2024-11-05T19:57:48,1.52
Campaign_755,2024-11-05T19:57:48,1.52
Campaign_53,2024-10-17T09:41:55,3.0
Campaign_380,2024-11-20T21:03:14,8.58
Campaign_334,2024-11-26T09:45:46,3.18
Campaign_334,2024-11-26T09:45:46,3.18
Campaign_73,2024-10-21T10:07:52,1.03
Campaign_226,2024-11-15T21:56:10,5.4
Campaign_585,2024-11-25T11:16:38,2.04
Campaign_585,2024-11-25T11:16:38,2.04
Campaign_202,2024-10-25T04:22:53,4.85
Campaign_105,2024-10-25T01:33:54,7.87
Campaign_673,2024-10-28T02:01:00,3.73
Campaign_637,2024-10-23T13:39:10,1.03
Campaign_634,2024-11-12T15:41:48,4.47
Campaign_634,2024-11-12T15:41:48,4.47
Campaign_877,2024-10-25T05:02:35,1.79
Campaign_2,2024-10-18T01:41:15,1.46
Campaign_2,2024-10-18T01:41:15,1.46
Campaign_452,2024-11-08T12:58:59,5.61
Campaign_877,2024-10-10T07:03:11,2.01
Campaign_803,2024-11-09T11:49:43,4.04
Campaign_803,2024-11-09T11:49:43,4.04
Campaign_803,2024-11-09T11:49:43,4.04
Campaign_105,2024-10-24T04:41:24,3.5
Campaign_960,2024-10-17T16:53:07,2.48
Campaign_960,2024-10-17T16:53:07,2.48
Campaign_955,2024-11-01T12:20:20,4.41
Campaign_873,2024-11-20T23:41:53,9.34
Campaign_440,2024-10-23T02:51:51,9.75
Campaign_133,2024-11-17T18:54:06,8.87
Campaign_989,2024-11-30T09:27:45,3.61
Campaign_989,2024-11-30T09:27:45,3.61
Campaign_989,2024-11-30T09:27:45,3.61
Campaign_733,2024-10-27T19:37:36,8.43
Campaign_733,2024-10-27T19:37:36,8.43
Campaign_761,2024-10-30T23:58:59,5.88
Campaign_134,2024-11-22T18:09:31,2.78
Campaign_87,2024-10-18T18:27:07,6.42
Campaign_418,2024-11-03T01:29:03,2.33
Campaign_695,2024-11-09T16:41:28,6.55
Campaign_709,2024-10-29T17:48:30,4.2
Campaign_709,2024-10-29T17:48:30,4.2
Campaign_272,2024-11-12T12:01:32,1.75
Campaign_121,2024-10-12T23:48:09,8.44
Campaign_121,2024-10-12T23:48:09,8.44
Campaign_134,2024-11-19T14:39:25,1.04
Campaign_209,2024-10-30T17:23:15,3.72
Campaign_209,2024-10-30T17:23:15,3.72
Campaign_209,2024-10-30T17:23:15,3.72
Campaign_418,2024-10-30T02:25:48,0.96
Campaign_279,2024-11-18T12:10:33,5.83
Campaign_363,2024-12-10T23:03:29,3.1
Campaign_467,2024-11-13T02:12:13,3.44
Campaign_467,2024-11-13T02:12:13,3.44
Campaign_463,2024-10-05T23:50:25,4.63
Campaign_942,2024-10-07T02:07:28,3.24
Campaign_127,2024-10-22T00:08:21,9.68
Campaign_124,2024-10-04T14:35:40,4.61
Campaign_124,2024-10-04T14:35:40,4.61
Campaign_124,2024-10-04T14:35:40,4.61
Campaign_747,2024-10-30T21:31:40,1.7
Campaign_80,2024-11-03T05:12:48,9.09
Campaign_557,2024-10-22T15:58:02,4.37
Campaign_558,2024-10-09T17:01:29,3.73
Campaign_768,2024-11-10T22:34:12,3.55
Campaign_589,2024-10-26T16:06:11,9.04
Campaign_589,2024-10-26T16:06:11,9.04
Campaign_300,2024-12-06T16:25:41,6.8
Campaign_300,2024-12-06T16:25:41,6.8
Campaign_777,2024-11-09T16:10:36,1.03
Campaign_777,2024-11-09T16:10:36,1.03
Campaign_777,2024-11-09T16:10:36,1.03
Campaign_42,2024-10-15T00:47:20,6.08
Campaign_731,2024-10-18T07:45:18,5.17
Campaign_822,2024-10-26T22:47:09,7.42
Campaign_1012,2024-11-09T04:31:57,8.71
Campaign_930,2024-11-21T17:19:55,9.05
Campaign_221,2024-11-05T06:20:16,4.3
Campaign_221,2024-11-05T06:20:16,4.3
Campaign_221,2024-11-05T06:20:16,4.3
Campaign_177,2024-10-26T16:02:43,1.53
Campaign_379,2024-11-19T02:24:45,5.9
Campaign_876,2024-10-26T15:08:12,9.76
Campaign_7,2024-11-24T03:11:46,8.18
Campaign_400,2024-10-27T12:18:07,1.58
Campaign_400,2024-10-27T12:18:07,1.58
Campaign_153,2024-11-06T12:04:05,6.07
Campaign_153,2024-11-06T12:04:05,6.07
Campaign_353,2024-11-02T11:59:35,2.49
Campaign_353,2024-11-02T11:59:35,2.49
Campaign_353,2024-11-02T11:59:35,2.49
Campaign_353,2024-11-02T11:59:35,2.49
Campaign_992,2024-10-30T01:16:18,5.12
Campaign_992,2024-10-30T01:16:18,5.12
Campaign_800,2024-10-31T12:12:28,7.95
Campaign_800,2024-10-31T12:12:28,7.95
Campaign_770,2024-10-20T05:48:19,0.96
Campaign_770,2024-10-20T05:48:19,0.96
Campaign_703,2024-10-29T00:06:10,4.3
Campaign_757,2024-11-07T08:44:34,4.8
Campaign_900,2024-11-01T15:01:07,3.91
Campaign_976,2024-10-14T21:50:54,9.49
Campaign_897,2024-10-28T19:48:42,9.77
Campaign_907,2024-10-18T03:03:23,0.91
Campaign_907,2024-10-18T03:03:23,0.91
Campaign_907,2024-10-18T03:03:23,0.91
Campaign_907,2024-10-18T03:03:23,0.91
Campaign_949,2024-10-22T16:48:26,8.5
Campaign_949,2024-10-22T16:48:26,8.5
Campaign_612,2024-11-10T23:57:03,4.79
Campaign_460,2024-10-22T09:06:10,1.13
Campaign_460,2024-10-22T09:06:10,1.13
Campaign_200,2024-11-01T10:53:44,0.99
Campaign_200,2024-11-01T10:53:44,0.99
Campaign_200,2024-11-01T10:53:44,0.99
Campaign_41,2024-10-21T04:39:50,1.86
Campaign_41,2024-10-21T04:39:50,1.86
Campaign_41,2024-10-21T04:39:50,1.86
Campaign_167,2024-10-11T18:32:10,6.47
Campaign_167,2024-10-11T18:32:10,6.47
Campaign_54,2024-10-22T15:20:56,5.96
Campaign_54,2024-10-22T15:20:56,5.96
Campaign_770,2024-11-11T10:39:42,1.95
Campaign_770,2024-11-11T10:39:42,1.95
Campaign_800,2024-10-26T02:43:32,8.73
Campaign_800,2024-10-26T02:43:32,8.73
Campaign_86,2024-11-23T13:38:23,4.12
Campaign_86,2024-11-23T13:38:23,4.12
Campaign_654,2024-10-30T16:08:39,3.61
Campaign_654,2024-10-30T16:08:39,3.61
Campaign_654,2024-10-30T16:08:39,3.61
Campaign_342,2024-11-03T17:46:05,4.11
Campaign_750,2024-10-31T15:25:32,7.08
Campaign_750,2024-10-31T15:25:32,7.08
Campaign_828,2024-10-08T16:06:16,9.26
Campaign_828,2024-10-08T16:06:16,9.26
Campaign_970,2024-10-23T05:54:24,9.65
Campaign_970,2024-10-23T05:54:24,9.65
Campaign_330,2024-11-24T13:51:11,7.34
Campaign_86,2024-11-13T19:44:03,9.97
Campaign_86,2024-11-13T19:44:03,9.97
Campaign_80,2024-10-29T13:53:59,4.99
Campaign_362,2024-11-03T09:37:03,3.33
Campaign_4,2024-11-01T19:19:27,4.21
Campaign_184,2024-11-16T22:05:49,2.66
Campaign_184,2024-11-16T22:05:49,2.66
Campaign_55,2024-10-16T07:39:31,5.72
Campaign_401,2024-11-23T20:53:39,7.04
Campaign_401,2024-11-23T20:53:39,7.04
Campaign_401,2024-11-23T20:53:39,7.04
Campaign_126,2024-11-15T10:05:36,7.85
Campaign_136,2024-11-17T07:07:45,5.04
Campaign_155,2024-10-10T20:53:37,6.41
Campaign_155,2024-10-10T20:53:37,6.41
Campaign_155,2024-10-10T20:53:37,6.41
Campaign_155,2024-10-10T20:53:37,6.41
Campaign_972,2024-10-14T18:46:14,7.99
Campaign_972,2024-10-14T18:46:14,7.99
Campaign_972,2024-10-14T18:46:14,7.99
Campaign_972,2024-10-14T18:46:14,7.99
Campaign_972,2024-10-14T18:46:14,7.99
Campaign_879,2024-10-24T23:20:31,5.75
Campaign_879,2024-10-24T23:20:31,5.75
Campaign_355,2024-10-08T14:45:50,4.91
Campaign_355,2024-10-08T14:45:50,4.91
Campaign_580,2024-11-24T16:13:46,0.76
Campaign_580,2024-11-24T16:13:46,0.76
Campaign_580,2024-11-24T16:13:46,0.76
Campaign_960,2024-10-21T15:26:15,1.11
Campaign_960,2024-10-21T15:26:15,1.11
Campaign_603,2024-11-08T09:22:35,7.48
Campaign_197,2024-10-20T07:50:12,1.43
Campaign_296,2024-10-22T23:20:25,4.46
Campaign_296,2024-10-22T23:20:25,4.46
Campaign_139,2024-11-06T22:33:38,2.2
Campaign_139,2024-11-06T22:33:38,2.2
Campaign_565,2024-10-28T18:40:16,9.74
Campaign_817,2024-10-17T12:52:34,3.18
Campaign_256,2024-11-06T05:18:46,5.82
Campaign_448,2024-10-13T17:00:58,9.78
Campaign_448,2024-10-13T17:00:58,9.78
Campaign_101,2024-10-16T06:39:22,2.87
Campaign_101,2024-10-16T06:39:22,2.87
Campaign_264,2024-10-08T11:02:57,3.82
Campaign_914,2024-11-28T15:07:04,9.64
Campaign_3,2024-10-18T14:53:36,0.66
Campaign_90,2024-10-05T16:22:21,7.39
Campaign_90,2024-10-05T16:22:21,7.39
Campaign_955,2024-11-03T17:18:38,1.94
Campaign_703,2024-10-31T06:30:14,8.54
Campaign_1004,2024-10-25T20:35:06,0.68
Campaign_771,2024-10-28T14:39:09,0.95
Campaign_771,2024-10-28T14:39:09,0.95
Campaign_357,2024-10-12T00:14:15,6.92
Campaign_110,2024-10-24T14:08:20,5.39
Campaign_110,2024-10-24T14:08:20,5.39
Campaign_1008,2024-10-16T09:51:50,4.84
Campaign_421,2024-10-19T03:56:24,5.86
Campaign_421,2024-10-19T03:56:24,5.86
Campaign_1002,2024-10-11T17:20:23,3.32
Campaign_1002,2024-10-11T17:20:23,3.32
Campaign_19,2024-11-12T10:20:09,6.89
Campaign_19,2024-11-12T10:20:09,6.89
Campaign_247,2024-10-24T04:31:28,2.19
Campaign_247,2024-10-24T04:31:28,2.19
Campaign_705,2024-11-20T04:24:21,2.47
Campaign_556,2024-11-01T15:55:28,1.95
Campaign_556,2024-11-01T15:55:28,1.95
Campaign_876,2024-10-24T00:52:08,4.27
Campaign_161,2024-10-28T09:21:27,8.69
Campaign_107,2024-10-20T16:54:49,5.62
Campaign_540,2024-10-11T10:07:04,1.06
Campaign_540,2024-10-11T10:07:04,1.06
Campaign_540,2024-10-11T10:07:04,1.06
Campaign_365,2024-11-26T06:59:16,4.46
Campaign_365,2024-11-26T06:59:16,4.46
Campaign_399,2024-10-18T11:34:55,7.06
Campaign_399,2024-10-18T11:34:55,7.06
Campaign_925,2024-10-10T23:49:43,4.37
Campaign_925,2024-10-10T23:49:43,4.37
Campaign_925,2024-10-10T23:49:43,4.37
Campaign_925,2024-10-10T23:49:43,4.37
Campaign_925,2024-10-10T23:49:43,4.37
Campaign_649,2024-10-11T10:01:58,7.46
Campaign_649,2024-10-11T10:01:58,7.46
Campaign_649,2024-10-11T10:01:58,7.46
Campaign_804,2024-10-22T05:46:03,0.97
Campaign_804,2024-10-22T05:46:03,0.97
Campaign_433,2024-10-30T12:56:22,8.91
Campaign_433,2024-10-30T12:56:22,8.91
Campaign_753,2024-10-20T23:56:26,3.07
Campaign_753,2024-10-20T23:56:26,3.07
Campaign_645,2024-11-01T07:52:52,2.88
Campaign_978,2024-11-16T20:15:02,3.36
Campaign_312,2024-10-24T23:38:30,2.71
Campaign_93,2024-11-21T23:39:22,7.2
Campaign_93,2024-11-21T23:39:22,7.2
Campaign_331,2024-10-16T17:45:48,8.97
Campaign_331,2024-10-16T17:45:48,8.97
Campaign_331,2024-10-16T17:45:48,8.97
Campaign_331,2024-10-16T17:45:48,8.97
Campaign_331,2024-10-16T17:45:48,8.97
Campaign_654,2024-10-28T19:10:01,7.46
Campaign_654,2024-10-28T19:10:01,7.46
Campaign_654,2024-10-28T19:10:01,7.46
Campaign_850,2024-11-04T09:32:45,4.1
Campaign_850,2024-11-04T09:32:45,4.1
Campaign_131,2024-11-01T16:12:21,0.61
Campaign_764,2024-11-04T08:28:38,0.68
Campaign_732,2024-11-02T02:16:09,0.8
Campaign_732,2024-11-02T02:16:09,0.8
Campaign_180,2024-10-30T03:18:41,8.16
Campaign_180,2024-10-30T03:18:41,8.16
Campaign_996,2024-11-04T15:51:33,9.71
Campaign_996,2024-11-04T15:51:33,9.71
Campaign_820,2024-10-30T05:44:18,2.55
Campaign_820,2024-10-30T05:44:18,2.55
Campaign_820,2024-10-30T05:44:18,2.55
Campaign_72,2024-10-13T08:37:20,4.91
Campaign_72,2024-10-13T08:37:20,4.91
Campaign_219,2024-10-17T11:17:21,8.72
Campaign_219,2024-10-17T11:17:21,8.72
Campaign_355,2024-10-25T13:40:56,6.78
Campaign_355,2024-10-25T13:40:56,6.78
Campaign_49,2024-10-09T10:40:44,5.8
Campaign_608,2024-11-12T20:48:37,5.06
Campaign_601,2024-10-23T16:44:25,5.93
Campaign_678,2024-11-24T22:04:55,6.87
Campaign_678,2024-11-24T22:04:55,6.87
Campaign_1004,2024-11-12T10:07:38,6.41
Campaign_603,2024-11-13T11:23:55,0.54
Campaign_329,2024-11-01T19:01:36,4.2
Campaign_947,2024-11-10T15:45:24,2.72
Campaign_373,2024-10-06T17:00:21,4.05
Campaign_115,2024-10-22T09:18:30,7.96
Campaign_93,2024-11-09T00:02:47,5.28
Campaign_93,2024-11-09T00:02:47,5.28
Campaign_694,2024-12-25T17:05:00,2.17
Campaign_336,2024-11-16T10:41:05,3.12
Campaign_336,2024-11-16T10:41:05,3.12
Campaign_705,2024-10-28T05:31:57,2.79
Campaign_588,2024-10-09T00:20:28,3.56
Campaign_588,2024-10-09T00:20:28,3.56
Campaign_212,2024-10-23T10:47:56,5.32
Campaign_212,2024-10-23T10:47:56,5.32
Campaign_672,2024-10-21T11:01:31,8.4
Campaign_98,2024-11-05T17:06:32,3.44
Campaign_649,2024-11-10T16:28:51,2.93
Campaign_649,2024-11-10T16:28:51,2.93
Campaign_649,2024-11-10T16:28:51,2.93
Campaign_829,2024-11-29T03:40:47,8.08
Campaign_42,2024-10-17T12:39:19,5.86
Campaign_665,2024-10-23T12:05:58,2.13
Campaign_665,2024-10-23T12:05:58,2.13
Campaign_245,2024-10-14T23:55:57,1.9
Campaign_245,2024-10-14T23:55:57,1.9
Campaign_245,2024-10-14T23:55:57,1.9
